index,TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEWADDRESS,lat,lon
1137,Commercial Break and Enter,2013,2,4XX E KENT S AVE,"400 E KENT S AVE ,Vancouver, Canada",49.263566,-123.138572
1138,Commercial Break and Enter,2013,2,14XX GRANVILLE ST,"1400 GRANVILLE ST ,Vancouver, Canada",49.274987,-123.129474
1139,Commercial Break and Enter,2013,2,4XX E 10TH AVE,"400 E 10TH AVE ,Vancouver, Canada",49.261594,-123.096083
1140,Commercial Break and Enter,2013,2,1XX E CORDOVA ST,"100 E CORDOVA ST ,Vancouver, Canada",49.282346,-123.102224
1141,Commercial Break and Enter,2013,2,16XX E 2ND AVE,"1600 E 2ND AVE ,Vancouver, Canada",49.268714,-123.071469
1142,Commercial Break and Enter,2013,2,5XX RICHARDS ST,"500 RICHARDS ST ,Vancouver, Canada",49.283411,-123.112914
1143,Commercial Break and Enter,2013,2,5XX HORNBY ST,"500 HORNBY ST ,Vancouver, Canada",49.285617,-123.117296
1144,Commercial Break and Enter,2013,2,9XX BUTE ST,"900 BUTE ST ,Vancouver, Canada",49.28463,-123.129093
1145,Commercial Break and Enter,2013,2,6XX W GEORGIA ST,"600 W GEORGIA ST ,Vancouver, Canada",49.281922,-123.117221
1146,Commercial Break and Enter,2013,2,6XX GRANVILLE ST,"600 GRANVILLE ST ,Vancouver, Canada",49.283586,-123.116467
1147,Commercial Break and Enter,2013,2,12XX HORNBY ST,"1200 HORNBY ST ,Vancouver, Canada",49.278255,-123.128194
1148,Commercial Break and Enter,2013,2,21XX BRIGADOON AVE,"2100 BRIGADOON AVE ,Vancouver, Canada",49.216605,-123.065077
1149,Commercial Break and Enter,2013,2,19XX E 12TH AVE,"1900 E 12TH AVE ,Vancouver, Canada",49.259539,-123.065949
1150,Commercial Break and Enter,2013,2,14XX E 7TH AVE,"1400 E 7TH AVE ,Vancouver, Canada",49.264219,-123.075482
1151,Commercial Break and Enter,2013,2,5XX GRANVILLE ST,"500 GRANVILLE ST ,Vancouver, Canada",49.284652,-123.114846
1152,Commercial Break and Enter,2013,2,12XX W 77TH AVE,"1200 W 77TH AVE ,Vancouver, Canada",49.200925,-123.132615
1153,Commercial Break and Enter,2013,2,12XX W 77TH AVE,"1200 W 77TH AVE ,Vancouver, Canada",49.200925,-123.132615
